player_id event_type shot_type x_loc y_loc dist_to_basket game_clock_seconds game_id
201939 1 2pt 24.051383952 10.425690096 4.107261052113884 296 21500069
201939 1 2pt 28.453336032000003 1.73696376 6.047864230271612 276 21500144
201939 2 2pt 26.536540272 10.824252672 3.2452895090812737 247 21500144
201939 2 2pt 3.1592489520000004 6.935583792 1.70266238006993 25 21500164
201939 2 2pt 23.573302104000003 4.285140528 4.818264246990916 268 21500187
201939 2 2pt 23.573302104000003 4.285140528 4.818264246990916 263 21500187
201939 2 3pt 9.511378488 8.573639952 7.968448671293838 144 21500259
201939 2 2pt 4.7650908 3.060829032 5.550006638858975 200 21500336
201939 2 3pt 6.784445664 2.2458243120000003 7.467139173083161 148 21500336
201939 2 3pt 8.57259144 10.475415168000001 7.534430182451076 101 21500336
201939 1 2pt 4.476743904 4.4933920800000005 4.248550566610486 172 21500397
201939 2 2pt 6.728197872 8.015188440000001 5.14320290075612 51 21500397
201939 1 2pt 3.1581303359999997 5.4560449680000005 2.6664298813858185 57 21500438
201939 2 2pt 1.738865712 5.549517984 2.075120227423917 28 21500438
201939 1 2pt 26.207380656 2.86034988 4.8338352125808965 75 21500583
201939 2 3pt 8.717810352 2.899946448 8.540449792408207 214 21500069
201939 1 3pt 8.200558656 5.603772384 6.901442471495011 156 21500069
201939 1 3pt 8.304983136 4.569299472 7.366199197166031 68 21500069
201939 2 3pt 20.601657552 11.268114624 7.409639554082056 22 21500144
201939 2 2pt 25.960651152000004 11.399172528000001 3.9333199217359427 240 21500144
201939 1 2pt 7.305361056000001 5.2600098 6.174011371790231 88 21500164
201939 2 3pt 8.8081104 5.512036728 7.509825663124884 123 21500177
201939 1 3pt 8.8081104 5.512036728 7.509825663124884 107 21500177
201939 1 3pt 7.912403784000001 1.566041064 8.746104013188855 228 21500187
201939 1 3pt 6.129994344 12.661754712 6.7777818919546675 51 21500259
201939 2 3pt 8.83840752 6.398142144 7.340612012826551 16 21500259
201939 2 2pt 26.128687392000003 11.366970408000002 3.8588142978515383 263 21500290
201939 1 3pt 10.37610828 7.959916008 8.782488772066106 153 21500290
201939 2 3pt 6.784445664 2.2458243120000003 7.467139173083161 151 21500336
201939 1 3pt 3.0185349840000004 14.315614752 6.844189581976693 46 21500336
201939 1 3pt 11.486647080000001 3.448882104 10.730333655948076 53 21500336
201939 1 2pt 4.926680520000001 6.849840504 3.4144718917013286 136 21500397
201939 1 2pt 20.4902562 6.527075592000001 6.6511535067866685 104 21500583
