201148 79.45758884013259 59.28 2190.0 2.71
203504 1318.3446685645872 416.12 4430.0 9.39
203894 1340.1250265704705 467.16 3980.0 11.74
203918 716.5918580611184 298.88 6088.0 4.91
203926 98.28692663896257 47.24 5461.0 0.87
203949 426.168737921103 263.72 8845.0 2.98
202687 134.26220942909498 92.12 4323.0 2.13
202738 1857.073178786898 587.96 4399.0 13.37
201575 1346.8824739042739 692.44 33875.0 2.04
200782 151.43693169644573 80.36 4410.0 1.82
203798 65.63484053079458 40.32 2669.0 1.51
1718 113.17659710628641 68.4 4003.0 1.71
203468 1780.542227463786 666.52 6382.0 10.44
201976 588.733091996383 188.56 4723.0 3.99
203110 7418.346236993774 3579.6800000000003 89211.0 4.01
203923 46.166018801811745 24.64 2140.0 1.15
1626143 422.63347650138115 295.32 7306.0 4.04
202388 591.0962875471686 203.92000000000002 1743.0 11.7
203123 112.43205951004438 50.160000000000004 1551.0 3.23
2200 206.70693548940142 164.92000000000002 6891.0 2.39
101141 113.4945740365005 86.08 4518.0 1.91
201566 687.4364118745193 287.0 2068.0 13.88
201177 133.5654920289003 83.92 1947.0 4.31
202083 150.0043494592013 86.08 4059.0 2.12
202331 804.1654132992967 368.12 6348.0 5.8
202066 261.72699113660315 84.68 3710.0 2.28
201936 562.7345617181627 226.92000000000002 2113.0 10.74
201945 149.12132964394115 61.76 2157.0 2.86
201956 360.769915186757 171.88 5562.0 3.09
203903 1547.249968237128 573.92 5468.0 10.5
201166 357.91863819448395 127.84 2376.0 5.38
1889 462.2584543126361 189.16 1300.0 14.55
203994 70.83244734267703 53.4 1176.0 4.54
2754 195.93147422907174 81.92 3507.0 2.34
201942 1346.346586132012 527.6800000000001 9104.0 5.8
201160 68.73942567776422 57.2 2863.0 2.0
101111 29.354200890128638 15.280000000000001 744.0 2.05
201588 1313.7257703399096 503.24 4124.0 12.2
2738 7116.885618829532 3035.12 72795.0 4.17
203124 64.38754912785085 58.28 1334.0 4.37
200751 655.1551044236975 228.20000000000002 5090.0 4.48
202697 1679.0966121268136 660.92 29149.0 2.27
201584 481.09919982053964 190.0 5257.0 3.61
1626178 138.48761673913515 59.08 3699.0 1.6
201565 1108.7656324454379 362.6 5874.0 6.17
202704 1814.440731682822 650.72 5799.0 11.22
201567 3204.542076854844 2456.68 81546.0 3.01
202703 290.41300594398285 156.28 6044.0 2.59
1626179 29.120964528547127 10.44 86.0 12.14
200752 489.5155657408597 273.04 7938.0 3.44
101133 98.37977744071392 73.68 2457.0 3.0
200811 41.7855307964675 30.68 1712.0 1.79
203991 86.33116982784836 47.6 3350.0 1.42
