player_id 2pts_efficiency nb_2pts_shots 3pts_efficiency nb_3pts_shots
203468 1.0 1 0.0 0
202083 1.0 1 0.5 2
201588 1.0 1 0.0 0
202328 1.0 1 0.0 0
201586 1.0 1 0.0 0
201935 1.0 1 0.0 1
203083 1.0 2 0.0 0
203081 1.0 1 0.0 0
202702 1.0 1 0.0 0
202718 1.0 1 0.0 0
202689 1.0 1 0.0 2
202324 1.0 2 0.0 1
202681 1.0 1 0.75 4
201578 1.0 1 0.0 0
200768 1.0 3 0.5 2
204001 1.0 1 0.0 1
203087 1.0 1 0.0 1
101106 1.0 2 0.0 0
2747 0.75 4 0.33 6
203076 0.75 4 0.0 0
2738 0.71 7 0.25 4
201566 0.67 3 0.0 0
202710 0.67 3 0.0 1
203105 0.67 3 0.0 0
203110 0.5 18 0.0 3
202697 0.5 2 0.0 2
201567 0.5 6 0.4 10
201564 0.5 2 0.0 1
203109 0.5 2 0.0 1
202323 0.5 2 0.5 2
101145 0.5 2 0.0 0
203953 0.5 2 0.0 0
202684 0.5 4 0.0 0
101127 0.5 2 0.0 1
2590 0.5 6 0.0 2
201950 0.5 2 0.0 0
2207 0.5 2 0.0 0
202692 0.5 4 0.33 3
203933 0.5 2 1.0 1
201167 0.5 2 0.0 3
203482 0.5 4 0.0 0
201939 0.47 17 0.5 16
2544 0.44 32 0.22 9
201942 0.4 5 0.0 1
200752 0.4 5 0.0 0
1717 0.33 3 1.0 1
203084 0.33 3 0.5 2
201583 0.33 3 0.0 0
203487 0.33 3 0.5 2
2733 0.33 3 1.0 2
101108 0.25 4 0.0 2
201573 0.25 4 0.0 0
201933 0.2 5 0.0 1
203114 0.2 5 0.0 1
202691 0.14 7 0.5 4
203918 0.0 2 0.5 4
202738 0.0 1 0.5 2
1718 0.0 1 0.0 0
101141 0.0 0 0.0 1
202331 0.0 1 0.33 3
201936 0.0 1 0.0 0
1626178 0.0 1 0.0 0
202704 0.0 3 0.0 0
201565 0.0 1 0.0 1
202703 0.0 1 0.0 1
2037 0.0 0 0.5 2
203507 0.0 1 0.0 0
201949 0.0 0 0.0 1
201960 0.0 1 0.0 0
2210 0.0 0 0.5 2
201941 0.0 3 0.0 0
203096 0.0 1 0.0 1
203115 0.0 2 0.2 5
201587 0.0 0 0.0 3
201599 0.0 2 0.0 0
201568 0.0 3 0.0 0
203503 0.0 1 0.0 0
202709 0.0 1 1.0 1
201158 0.0 1 0.0 0
204038 0.0 0 1.0 1
201572 0.0 1 0.0 0
2749 0.0 1 0.0 0
202688 0.0 0 0.33 3
2449 0.0 0 0.0 1
2744 0.0 1 0.0 0
203914 0.0 0 0.5 2
201967 0.0 1 0.0 0
203546 0.0 0 1.0 1
203497 0.0 0 1.0 1
203521 0.0 0 0.0 3
101107 0.0 2 0.0 0
201977 0.0 0 0.0 1
202711 0.0 1 0.0 0
101114 0.0 1 0.0 4
202730 0.0 1 0.0 0
202330 0.0 1 0.33 3
203085 0.0 1 0.0 0
202498 0.0 2 0.0 1
2546 0.0 1 0.0 2
